entry_time,exit_time,entry_price,exit_price,position_sz,initial_sl,trailing_sl,tp_price,pnl_usd,exit_reason,atr_entry,bars_held,proba_dnn,proba_xgb
2025-06-27 06:00:00,2025-06-27 13:00:00,3294.34,3281.73,86.4969,3281.73,3281.73,3308.76,-1091.07,trailing_stop,9.01,7,0.4744,0.6539
2025-06-27 13:00:00,2025-06-27 15:00:00,3285.55,3272.03,79.8995,3272.03,3272.03,3301.0,-1080.16,trailing_stop,9.66,2,0.6166,0.6109
2025-06-27 15:00:00,2025-06-30 01:00:00,3270.02,3255.43,73.3041,3255.43,3255.43,3286.69,-1069.36,trailing_stop,10.42,9,0.6508,0.6142
2025-06-30 01:00:00,2025-06-30 05:00:00,3263.75,3282.16,65.7026,3247.64,3247.64,3282.16,1209.9,take_profit,11.51,4,0.652,0.8518
2025-07-07 07:00:00,2025-07-07 13:00:00,3307.72,3297.02,100.0996,3297.02,3297.02,3319.95,-1070.77,trailing_stop,7.64,6,0.5099,0.5687
2025-07-07 13:00:00,2025-07-07 17:00:00,3302.06,3317.79,77.0055,3288.29,3288.29,3317.79,1211.49,take_profit,9.83,4,0.5537,0.7224
2025-07-08 23:00:00,2025-07-09 05:00:00,3301.48,3289.02,86.0285,3289.02,3289.02,3315.72,-1072.17,trailing_stop,8.9,5,0.4928,0.5723
2025-07-09 05:00:00,2025-07-09 16:00:00,3288.4,3302.8,84.2488,3275.8,3275.8,3302.8,1213.09,take_profit,9.0,11,0.6122,0.8042
2025-07-15 23:00:00,2025-07-16 09:00:00,3324.65,3340.08,79.4951,3311.14,3311.14,3340.08,1226.95,take_profit,9.65,9,0.4455,0.7208
2025-07-17 15:00:00,2025-07-17 17:00:00,3313.07,3326.07,95.493,3301.7,3306.59,3326.07,1240.97,take_profit,8.12,2,0.5227,0.5403
2025-07-23 19:00:00,2025-07-24 09:00:00,3387.36,3374.02,82.3037,3374.02,3374.02,3402.61,-1098.26,trailing_stop,9.53,13,0.4259,0.6901
2025-07-24 09:00:00,2025-07-24 12:00:00,3375.96,3365.4,102.9717,3365.4,3365.4,3388.03,-1087.28,trailing_stop,7.54,3,0.608,0.8108
2025-07-24 12:00:00,2025-07-24 15:00:00,3363.65,3353.22,103.2425,3353.22,3353.22,3375.57,-1076.41,trailing_stop,7.45,3,0.6514,0.7171
2025-07-24 15:00:00,2025-07-24 16:00:00,3353.39,3366.17,95.2657,3342.2,3344.14,3366.17,1217.88,take_profit,7.99,1,0.7183,0.6863
2025-07-24 16:00:00,2025-07-25 10:00:00,3366.66,3353.91,84.5416,3353.91,3353.91,3381.23,-1077.82,trailing_stop,9.11,17,0.6483,0.5711
2025-07-25 10:00:00,2025-07-25 11:00:00,3354.05,3346.34,138.3613,3346.34,3346.34,3362.86,-1067.04,trailing_stop,5.51,1,0.6051,0.7467
2025-07-25 11:00:00,2025-07-25 15:00:00,3345.51,3337.28,128.3095,3337.28,3337.28,3354.92,-1056.37,trailing_stop,5.88,4,0.6107,0.7996
2025-07-25 15:00:00,2025-07-25 17:00:00,3340.79,3331.56,113.3667,3331.56,3331.56,3351.33,-1045.81,trailing_stop,6.59,2,0.5788,0.7012
2025-07-25 17:00:00,2025-07-28 08:00:00,3331.87,3344.18,96.1239,3321.1,3321.1,3344.18,1183.26,take_profit,7.69,14,0.6753,0.6576
2025-07-28 10:00:00,2025-07-28 16:00:00,3334.97,3325.28,108.1242,3325.28,3325.28,3346.04,-1047.18,trailing_stop,6.92,6,0.6176,0.4561
2025-07-28 16:00:00,2025-07-28 18:00:00,3302.25,3316.07,85.7424,3290.16,3290.16,3316.07,1184.81,take_profit,8.64,2,0.5961,0.7185
2025-07-28 18:00:00,2025-07-29 11:00:00,3314.83,3329.36,82.4468,3302.11,3302.11,3329.36,1198.35,take_profit,9.08,16,0.5399,0.6803
2025-07-30 18:00:00,2025-07-30 21:00:00,3290.39,3303.99,89.1437,3278.49,3278.49,3303.99,1212.05,take_profit,8.5,3,0.4733,0.603
2025-07-30 21:00:00,2025-07-31 05:00:00,3280.15,3296.15,76.5969,3266.15,3266.15,3296.15,1225.9,take_profit,10.0,7,0.4772,0.7231
2025-07-31 07:00:00,2025-07-31 11:00:00,3298.17,3312.43,86.9747,3285.7,3285.7,3312.43,1239.91,take_profit,8.91,4,0.5626,0.6029
2025-08-11 12:00:00,2025-08-12 14:00:00,3353.34,3340.76,87.2136,3340.76,3340.76,3367.72,-1097.32,trailing_stop,8.99,25,0.5082,0.7873
2025-08-20 02:00:00,2025-08-20 08:00:00,3314.25,3323.72,131.059,3305.96,3305.96,3323.72,1241.54,take_profit,5.92,6,0.5531,0.6148
2025-08-22 15:00:00,2025-08-22 16:00:00,3323.51,3331.08,165.9513,3316.89,3319.64,3331.08,1255.73,take_profit,4.73,1,0.5878,0.5204
2025-10-22 02:00:00,2025-10-22 03:00:00,4092.96,4041.95,21.7859,4041.95,4041.95,4151.26,-1111.32,trailing_stop,36.44,1,0.2469,0.8958
